Date,Open,High,Low,Close,null
20000413,1467.16992,1477.36011,1440.33984,1440.50977,0
20000414,1440.51001,1440.51001,1339.3999,1356.55981,0
20000417,1356.56006,1401.47998,1346.67993,1401.43994,0
20000418,1401.43994,1441.61011,1397.60986,1441.60986,0
20000419,1441.61011,1447.68994,1425.25977,1427.46997,0
20000420,1427.46997,1435.42993,1421.97998,1434.53979,0
20000424,1434.54004,1434.54004,1407.1499,1429.85986,0
20000425,1429.86011,1477.66992,1429.85986,1477.43994,0
20000426,1477.43994,1482.81006,1457.26978,1460.98999,0
20000427,1460.98999,1469.13989,1434.84985,1464.91992,0
20000428,1464.91992,1473.41992,1448.47998,1452.42993,0
20000501,1452.42993,1481.42993,1452.42993,1468.25,0
20000502,1468.25,1468.25,1445.13989,1446.28979,0
20000503,1446.29004,1446.29004,1398.35986,1415.09985,0
20000504,1415.1001,1420.51001,1404.97998,1409.56982,0
20000505,1409.57007,1435.87012,1405.15991,1432.62988,0
20000508,1432.62988,1432.62988,1416.91992,1424.16992,0
20000509,1424.16992,1429.81006,1401.85986,1412.13989,0
20000510,1412.13989,1412.13989,1375.20996,1383.0498,0
20000511,1383.05005,1410.25,1383.0498,1407.80981,0
20000512,1407.81006,1430.19995,1407.80981,1420.95996,0
20000515,1420.95996,1452.37988,1417.0498,1452.35986,0
20000516,1452.36011,1470.3999,1450.75977,1466.03979,0
20000517,1466.04004,1466.04004,1441.62988,1447.7998,0
20000518,1447.80005,1457.95996,1436.6499,1437.20996,0
20000519,1437.20996,1437.20996,1401.75977,1406.94995,0
20000522,1406.94995,1410.32007,1368.61987,1400.71997,0
20000523,1400.71997,1403.77002,1373.42993,1373.85986,0
20000524,1373.86011,1401.40991,1361.19995,1399.0498,0
20000525,1399.05005,1411.88989,1373.98999,1381.51978,0
20000526,1381.52002,1391.55005,1369.7998,1378.01978,0
20000530,1378.02002,1422.44995,1377.7998,1422.44995,0
20000531,1422.43994,1434.56006,1415.38989,1420.59985,0
20000601,1420.6001,1448.81006,1420.59985,1448.80981,0
20000602,1448.81006,1483.42993,1448.80981,1477.25977,0
20000605,1477.26001,1477.26001,1464.66992,1467.62988,0
20000606,1467.62988,1471.32007,1454.77979,1457.83984,0
